,SMILES String,PC1,PC2,PC3,PC4,PC5,Cluster
Anion_0129,CCC=CC(=O)[O-],2.392999355,-1.642543443,-2.910270301,-0.331727765,-0.976436021,20
Anion_0130,CC(C)=CCCC(C)=CC(=O)[O-],-0.077302101,2.23524632,-0.733533952,-0.979895129,1.621944275,6
Anion_0131,O=C([O-])C1=CCCCC1,2.666630686,-1.512341842,-1.956841116,-0.519223542,0.158321199,20
Anion_0132,O=C([O-])CCC1=[N+]=C(c2ccccc2)C(=C2C=CC=C[CH-]2)O1,-4.296452371,4.727079647,-0.999169901,0.899227877,2.858120804,19
Anion_0133,O=C([O-])CN1C(=O)C[S+]=C1[S-],0.791893057,-1.464510763,4.908090059,1.872981147,-1.419208909,14
Anion_0134,CCCCCCCCCCCCCC=CC(=O)[O-],-7.586710724,10.9416,-1.209346484,-3.657013022,4.133902697,19
Anion_0135,O=C([O-])CCCC(=O)c1ccccc1,-0.416912799,1.364071248,1.243377508,0.246632618,-3.725851981,4
Anion_0136,O=C([O-])CC12CC3CC(CC(C3)C1)C2,3.655749524,1.20531383,-4.183320438,-0.633609762,1.04518128,1
Anion_0137,O=C([O-])CF,6.827659469,-2.265617833,-2.655849087,-2.465812421,-1.766330816,11
Anion_0138,O=C([O-])Cc1ccc2c(c1)OCO2,0.909718447,2.410649985,-0.38662809,-0.930351694,-1.291247319,5
Anion_0139,COC1=CC=CC(=CC=C([O-])[O-])[CH+]1,-2.417611944,-0.805201229,-2.227012261,0.486225422,1.182071107,15
Anion_0140,COC1=CC(=CC=C([O-])[O-])C=C(OC)[C+]1OC,-3.486247568,1.039580172,-0.963673352,-0.319604218,2.049685834,10
Anion_0141,O=C([O-])Cc1ccc(Cl)c(Cl)c1,0.150999485,0.506885245,-0.273577142,0.018859691,-0.889313641,5
Anion_0142,C=CCCCCC(=O)[O-],2.648169724,2.511122396,-0.413901316,-0.961137272,-1.598649042,5
Anion_0143,O=C([O-])c1ccc(Cl)s1,-1.08557855,-3.097308246,-1.184992608,-0.790615015,-0.903533621,8
