code_name,SMILES,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,MolLogP
Anion_0078,O=C([O-])C=Cc1c[nH+]c[n-]1,2.3579,-4.6637,-2.3058,3.1924,-5.5216,11.0196,-1.0,295.89,-75.7931,-3.5666,-1.778999999999999
Anion_0079,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.4759,-6.933,-1.4571,5.5783000000000005,-7.0204,7.1754,-1.0,325.9076,-47.4113,-2.4638,1.204499999999999
Anion_0080,CCCCCCCCCCCCCCCCCCC(=O)[O-],5.1939,-4.5857,0.6083000000000001,3.1855,-8.5482,23.5899,-1.0,641.3301,-69.9858,-1.7504,5.3879000000000055
Anion_0081,O=C([O-])c1ccc[nH]1,3.4292,-4.7236,-1.2944,3.4016,-6.7115,10.746,-1.0,257.9381,-69.8573,-2.7694,-0.6218
Anion_0082,C#CCCCC(=O)[O-],3.5758,-4.5085,-0.9327,3.2286,-7.5415,12.0914,-1.0,292.0053,-67.974,-2.2165,-0.4602
Anion_0083,O=C([O-])C1=CC=[S+2]=C1,2.657,-15.8976,-13.2406,14.0011,4.9842,2.709,1.0,273.1491,-49.5904,-1.5036,-1.6367
Anion_0084,O=C([O-])Cc1ccc2ccccc2c1,1.5137,-5.2464,-3.7327,3.1048,-3.5951,13.366,-1.0,370.9393,-63.5592,-1.8159,1.132199999999999
Anion_0085,O=C([O-])CN1C(=O)c2ccccc2C1=O,0.2971,-5.5032,-5.2061,3.68,-2.2595,15.598,-1.0,366.6959,-72.8916,-3.157,-0.9675
Anion_0086,COC(=O)CCC(=O)[O-],4.9144,-5.8908000000000005,-0.9764,4.1699,-7.7592,6.0626,-1.0,284.8924,-65.1431,-2.2703,-1.3104999999999989
Anion_0087,O=C([O-])C=Cc1ccc(Cl)cc1,0.982,-5.0898,-4.1078,3.5343,-3.2995,14.7015,-1.0,356.9785,-67.3236,-2.3191,1.1031
Anion_0088,O=C([O-])c1cc2ccccc2oc1=O,1.0959,-5.5879,-4.4921,3.8025,-2.8994,17.6731,-1.0,352.895,-75.0561,-3.0547,0.156499999999999
Anion_0089,CCC(CC)C(=O)[O-],5.1976,-4.3626000000000005,0.835,3.0007,-9.7816,10.4311,-1.0,294.5724,-69.5172,-1.8548,0.172499999999999
Anion_0090,COc1ccc(C=CC(=O)[O-])cc1OC,1.2961,-4.8416,-3.5455,3.2186,-3.8542,22.2696,-1.0,416.5325,-74.3359,-2.8373,0.466899999999999
Anion_0091,C=CCCCC(=O)[O-],2.0166,-4.4476,-2.431,3.1969,-6.265,12.868,-1.0,297.1944,-68.4641,-1.9897,0.0926
Anion_0092,O=C([O-])C1CCC1,5.2728,-4.3993,0.8735,3.0705,-9.8567,10.8915,-1.0,256.5522,-68.5747,-1.91,-0.4636
Anion_0093,O=C([O-])C1=[C-]O[C+]=C1,1.3529,-4.3488,-2.9959,3.278,-5.5672,1.329,-1.0,241.0278,-50.0306,-1.211,-1.22952
Anion_0094,COc1cccc(CC(=O)[O-])c1,2.6971,-5.0098,-2.3127,3.1164,-5.4061,11.2814,-1.0,346.0762,-64.8622,-2.1238,-0.0124
Anion_0095,O=C([O-])CCCc1ccc2ccc3cccc4ccc1c2c34,0.204,-5.1418,-4.9378,3.1619,-1.9693,18.0876,-0.0465,482.3583,-68.3076,-1.8776,3.656600000000002
Anion_0096,CC(=O)CCCC(=O)[O-],1.7912,-4.9774,-3.1862,3.5648,-5.5135000000000005,7.9261,-1.0,295.0027,-63.9384,-2.5013,-0.5044000000000001
Anion_0097,O=C([O-])Cc1cccs1,2.3825,-5.1022,-2.7197,3.1306,-4.9809,9.488,-1.0,294.6679,-62.1629,-1.8485,0.040499999999999
Anion_0098,O=C([O-])CCCCc1ccccc1,1.5999,-4.6449,-3.045,3.2463,-4.813,13.3338,-1.0,369.8881,-69.2223,-1.7949000000000002,1.149299999999999
Anion_0099,O=C([O-])CC1CCCCC1,5.3004,-4.43,0.8705,3.1078,-9.8678,15.396,-1.0,322.3303,-69.4627,-1.9526,0.7066999999999991
Anion_0100,Cc1ccc(C=CC(=O)[O-])cc1,1.232,-4.7962,-3.5642,3.2701,-3.886,21.393,-1.0,359.8384,-73.2424,-2.3561,0.758119999999999
Anion_0102,CC(C)(C)CC(=O)[O-],5.2712,-4.4209,0.8503000000000001,3.0974,-9.8896,12.3225,-1.0,285.7706,-68.8625,-1.849,0.172499999999999
Anion_0103,O=C([O-])c1cc2ccccc2o1,1.8443,-5.2876,-3.4433,3.746,-4.1429,15.971,-1.0,324.9482,-68.6675,-2.2382,0.7963
Anion_0104,O=C([O-])Cc1ccccc1Cl,2.4788,-5.2620000000000005,-2.7833,3.2784,-4.853,10.4613,-1.0,323.3789,-63.82,-1.8755,0.6323999999999991
Anion_0105,CC(C)CC(=O)C(=O)[O-],2.2556,-4.6672,-2.4116,3.2358,-6.5054,13.6662,-1.0,301.372,-66.8676,-2.3934,-0.6485000000000001
Anion_0106,O=C([O-])Cc1cccc(Cl)c1,2.4898,-5.3332,-2.8434,3.389,-4.7738,9.167,-1.0,331.5081,-59.9955,-1.8621,0.6323999999999991
Anion_0107,O=C([O-])CC1=CC=[S+2]=C1,2.0403,-16.445,-14.4048,14.5135,6.5637,3.6022,1.0,319.7045,-49.2759,-3.0061,-1.2466
Anion_0108,COC(=O)C=CC(=O)[O-],1.2074,-5.1812,-3.9738,3.7999,-4.1191,14.9428,-1.0,297.6263,-66.2848,-2.9835000000000003,-1.5345
Anion_0109,O=C([O-])C(F)F,5.1555,-5.4461,-0.2906,4.3983,-8.8834,4.867,-1.0,214.9147,-59.754,-2.5815,-0.9986
Anion_0110,O=C([O-])C(F)(F)C(F)(F)F,5.5433,-6.5375,-0.9942,5.2724,-8.0301,4.745,-1.0,263.0936,-50.4453,-2.4036,-0.0661
