code_name,SMILES,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP
Anion_0169,COC(=O)CC(=O)[O-],3.5823,-5.4103,-1.828,3.9641,-6.611,9.2141,-1.0,273.0323,-63.9902,-2.6222,-3.6191,66.181,0.065,10.5752,0.0945,-1.3235,0.0828,30.3299,10.2975,-3.8478,103.2047,-1.700599999999999
Anion_0170,O=C([O-])C1c2ccccc2-c2ccccc21,2.4378,-5.5552,-3.1174,3.2041,-4.0642,8.574,-1.0,388.3897,-56.3179,-1.4596,-4.3363,157.049,0.2542,7.2683,0.1376,-0.43,0.0127,18.8893,8.0085,0.9468,68.154,1.548799999999999
Anion_0171,C[n+]1c(C(=O)[O-])cc2cccc[c-]21,2.0791,-5.0886,-3.0095,3.3584,-4.4886,13.649,-1.0,342.8295,-67.927,-1.976,-4.0491,125.8849,0.2845,7.846999999999999,0.1274,-0.5651,0.0203,20.1126,8.5711,0.0322,69.7734,-0.2533
Anion_0172,COc1ccc(C(=O)C(=O)[O-])cc1,1.5065,-4.9762,-3.4697,3.1472,-4.1101,17.5918,-1.0,357.0206,-69.6145,-2.7344,-4.2229,117.1343,0.5266000000000001,7.2573,0.1378,-0.4814,0.016,20.4246,8.6695,0.1104,45.3693,-0.3722
Anion_0173,C#CCCCCCCCCC(=O)[O-],2.2412,-4.4018,-2.1605,3.1476,-6.3855,22.3132,-1.0,432.8305,-70.6557,-2.3015,-3.2811,136.1257,0.1546,9.5331,0.1051,-1.6189,0.1387,94.2796,8.3787,-2.0177,117.6743,1.4903
Anion_0174,CCC(C)(C)C(=O)[O-],5.1978,-4.3553,0.8425,2.9153,-9.7637,10.2264,-1.0,284.5499,-68.8888,-1.7332,-1.7564000000000002,83.3757,0.0113,12.6789,0.0788,-3.4242,0.4624,982.965,9.1561,-7.4121,130.6744,0.172499999999999
Anion_0175,COc1ccc(C#CC(=O)[O-])cc1,1.6876,-5.1351,-3.4475,3.5732,-4.048,24.189,-1.0,380.7581,-71.3283,-2.7071,-4.2913,121.8133,0.3727,7.6212,0.1312,-0.2374,0.0037,13.6986,8.782399999999999,0.45,68.784,-0.2034
Anion_0177,C=CCCCCCCCC(=O)[O-],0.7107,-4.3876,-3.6769,3.1477,-5.04,22.4427,-0.4244,414.6954,-69.6004,-2.1275,-4.0322,129.175,0.2806,8.1877,0.1222,-0.9461,0.0551,34.1925,8.4395,-1.1022,101.8765,1.6529999999999991
Anion_0178,CC(=O)CCCCC(=O)[O-],1.7439,-4.9904,-3.2465,3.48,-5.4046,7.1012,-1.0,321.4171,-63.8495,-2.4451,-4.1185,96.1008,0.2301,8.8845,0.1125,-0.9623,0.0521,28.0374,8.9665,-2.1191,89.7524,-0.1143
Anion_0179,COc1ccc(CCC(=O)[O-])cc1OC,2.009,-4.7995,-2.7906,3.2049,-4.9482,12.9537,-1.0,402.4852,-69.3871,-2.4129,-3.795,143.6327,0.2494,8.1531,0.1226,-0.8716,0.0467,30.0647,8.0756,-0.7578,88.4885,0.386299999999999
Anion_0180,O=C([O-])C=Cc1ccccc1Cl,0.9986,-5.0228,-4.0243,3.4709,-3.4131,17.6594,-1.0,351.9777,-72.146,-2.4194,-4.5235,122.0071,0.5414,6.8839,0.1452,0.0289,0.0001,11.2415,8.956,1.1809,52.516,1.1031
Anion_0181,Cc1ccc(C(=O)C(=O)[O-])cc1,1.5357,-4.9573,-3.4216,3.1336,-4.1491,16.4639,-1.0,342.0508,-70.0734,-2.5367,-4.1895,112.3082,0.512,7.2826,0.1374,-0.5077,0.0177,21.1236,8.8046,0.0889,45.5945,-0.07238
Anion_0182,O=C([O-])C(=O)c1ccc(Cl)cc1,1.5194,-5.3679,-3.8485,3.453,-3.6403,9.7941,-1.0,339.5861,-61.1311,-2.3841,-4.6082,112.7387,0.5406000000000001,7.0933,0.141,-0.0937,0.0006,12.5706,8.9064,0.7395,44.4726,0.272599999999999
Anion_0183,O=C([O-])CC1CCCC1,5.2166,-4.4156,0.801,3.0985,-9.7543,12.1472,-1.0,296.8051,-69.1252,-1.8181,-1.8073,89.8319,0.0113,12.8528,0.0778,-3.3279,0.4309,4998.6747,9.085,-6.6867,130.8915,0.316599999999999
Anion_0184,COC(=O)CCCC(=O)[O-],5.0524,-5.872,-0.8196,3.9047,-7.4518,6.6856,-1.0,306.3379,-67.2695,-2.1695,-3.3458,89.6488,0.0177,11.3565,0.0881,-1.7736,0.1385,50.0082,9.3001,-4.1993,125.371,-0.9204
Anion_0185,O=C([O-])C1=[N+]=[NH+]c2ccccc21,2.1587,-15.1174,-12.9587,13.0886,4.948,4.594,1.0,321.6395,-51.4211,-2.7946,-14.0381,102.7864,0.2925,8.1406,0.1228,9.0183,4.9953,0.3331,18.6403,9.2405,73.2693,-2.388299999999998
Anion_0186,CCC=CCC(=O)[O-],3.4225,-4.6690000000000005,-1.2465,3.0071,-6.9389,11.4233,-1.0,291.4401,-65.8591,-1.8003,-2.9577,82.6856,0.0752,9.946,0.1006,-1.9659,0.1943,185.37,8.9626,-3.5404,95.1215,0.0926
Anion_0187,O=C([O-])c1cc[nH+][n-]1,2.5448,-4.513,-1.9682,3.2634,-6.2953,13.482,-1.0,253.0273,-80.1791,-3.6512,-3.2406,69.3324,0.1811,9.5587,0.1046,-1.516,0.1202,62.6174,10.0304,-3.2402,82.2338,-2.178599999999999
Anion_0188,CSCC(=O)[O-],3.6625,-5.058,-1.3955,3.2743,-6.3965,6.099,-1.0,248.807,-63.3016,-1.9161,-3.2268,67.7231,0.0655,9.6708,0.1034,-1.5611000000000002,0.126,65.9196,9.1711,-2.4881,97.3656,-0.9007000000000001
Anion_0189,Cc1ccc(C(=O)CCC(=O)[O-])cc1,1.0533,-5.3157,-4.2623,3.5175,-3.1917,14.6807,-1.0,384.9508,-66.7694,-2.5724,-4.789,135.3159,0.4962,6.7092,0.149,0.1628,0.002,9.9068,8.699,1.0979,55.049,0.707819999999999
Anion_0190,O=C([O-])CC=Cc1ccccc1,1.9851,-5.252,-3.2669,3.0474,-4.0894,13.2235,-1.0,361.2757,-61.5351,-1.8189,-4.2595,122.05,0.3399,7.1367,0.1401,-0.521,0.019,22.368,8.0969,0.5267000000000001,59.3293,0.8398
Anion_0191,O=C([O-])c1cc2cc3c4c(c2oc1=O)CCCN4CCC3,1.0588,-5.2147,-4.1559,3.2923,-3.0496,29.9596,-1.0,474.2493,-88.1017,-3.3396,-4.6853,191.8468,0.5808,6.3419,0.1577,0.1214,0.0012,10.8922,7.8764,1.8947,49.2618,0.8553000000000001
Anion_0193,O=C([O-])C=Cc1cccnc1,0.9589,-5.0176,-4.0587,3.4226,-3.5562,15.6771,-1.0,324.0637,-70.0987,-2.2639,-4.5382,105.3517,0.5612,6.9788,0.1433,-0.0668,0.0003,12.3946,8.914,0.7546,51.2782,-0.1553
Anion_0194,CC1(C(=O)[O-])CCCCC1,5.2115,-4.4285,0.783,2.9290000000000003,-9.6838,10.7911,-1.0,308.8605,-68.922,-1.6484,-1.8228,101.6719,0.0111,12.6128,0.0793,-3.3773,0.4522,1276.4667,8.854800000000001,-6.9461,131.0492,0.7066999999999991
Anion_0195,O=C([O-])Cc1cc2ccccc2[nH]1,2.5435,-5.4051,-2.8616,3.2608,-4.6905,11.904,-1.0,352.5789,-59.2342,-2.1428,-4.1334,125.8177,0.1896,7.9513,0.1258,-0.7148,0.0321,24.5339,8.2406,-0.2174,76.9507,0.460299999999999
Anion_0196,O=C([O-])C1CCCCCC1,5.2513,-4.4708,0.7805000000000001,3.0361,-9.6415,14.5713,-1.0,315.6661,-69.3666,-1.8895,-1.8451,101.5983,0.0107,12.6776,0.0788,-3.3027,0.4303,4218.7364,8.9142,-6.148,132.1728,0.7066999999999991
Anion_0197,O=C([O-])CCC(=O)c1ccc(Cl)cc1,0.9335,-5.6213,-4.6877,3.7624,-2.6723,10.0165,-1.0,381.6169,-60.6767,-2.4882,-5.1545,135.7789,0.5505,6.4347,0.1554,0.545,0.0231,6.9361,8.8053,1.7559,51.8698,1.052799999999999
Anion_0198,Cc1ccc(OCC(=O)[O-])cc1,2.2652,-4.9661,-2.701,3.1585,-5.2009,14.4065,-1.0,348.9176,-68.0481,-2.1659,-3.8336,115.6496,0.2126,8.3594,0.1196,-1.0212,0.0624,36.629,8.3717,-1.1537,86.0926,0.123719999999999
Anion_0199,O=C([O-])CCC(=O)OCc1ccccc1,2.9097,-6.1267,-3.217,4.1428,-4.4966,10.3708,-1.0,394.2492,-66.283,-2.1564,-4.6718,140.0992,0.1589,8.6395,0.1158,-0.1769,0.002,11.007,8.8045,0.2609,100.4564,0.259899999999999
Anion_0200,CC(=O)OCC(=O)[O-],5.001,-5.8825,-0.8815000000000001,4.1487,-7.4794,6.3636,-1.0,260.097,-62.6735,-2.37,-3.382,66.1673,0.0179,11.628,0.086,-1.6654,0.1193,37.7152,10.2632,-4.523,124.0211,-1.700599999999999
